quantity,value,unit
sector,22,TESS sector
period_days,9.4897116,days; NASA Exoplanet Archive
duration_hours,2.8488,hours; NASA Exoplanet Archive
quality_filtered_cadences,15939,count
symmetric_outliers_clipped,0,count
n_points,841,
n_in_transit,169,
n_out_of_transit,672,
depth_ppm,757.546747586,
depth_error_ppm,18.9168593864,
depth_snr,40.0461161185,
chi_square_flat,5147.95073106,
dof_flat,840,
p_value_flat,0,
chi_square_box,3544.25931488,
dof_box,839,
p_value_box,0,
delta_chi_square,1603.69141617,
delta_dof,1,
p_value_improvement,0,
